,accuracy,precision,recall,f1,set,modelo
0,0.6455795677799607,0.6455795677799607,0.6455795677799607,0.6455795677799607,test,Logistic Regression
1,0.6551724137931034,0.6551724137931034,0.6551724137931034,0.6551724137931034,train,Logistic Regression
0,0.6416502946954813,0.6416502946954813,0.6416502946954813,0.6416502946954813,test,best_knn
1,0.6828765104627174,0.6828765104627174,0.6828765104627174,0.6828765104627174,train,best_knn
0,0.649901768172888,0.649901768172888,0.649901768172888,0.649901768172888,test,PCA_log
1,0.6465271637685431,0.6465271637685431,0.6465271637685431,0.6465271637685431,train,PCA_log
0,0.6852652259332024,0.6852652259332024,0.6852652259332024,0.6852652259332024,test,Random Forest
1,0.7169663031731998,0.7169663031731998,0.7169663031731998,0.7169663031731998,train,Random Forest
0,0.6954813359528488,0.6954813359528488,0.6954813359528488,0.6954813359528488,test,GBT
1,0.7554769623735141,0.7554769623735141,0.7554769623735141,0.7554769623735141,train,GBT
0,0.6852652259332024,0.6852652259332024,0.6852652259332024,0.6852652259332024,test,xgb
1,0.7231555162589646,0.7231555162589646,0.7231555162589646,0.7231555162589645,train,xgb
